name,snr,mass_final,snr_h1,res_h1,snr_l1,res_l1,S0,p,bkg_p90,S_inj,rho90
GW240531_075248,9.3,53.1,4.955,3.072,7.355,2.606,15.78,0.6269,20.6,58.39,3.564
GW191127_050227,9.2,76,6.07,2.109,5.996,3.404,15.92,0.7711,20.93,93.02,2.846
GW230706_104333,9.2,26.6,6.056,3.378,7.282,2.766,13.03,0.7662,19.14,68.37,3.175
GW231118_071402,9.2,69,6.692,3.054,6.587,2.268,14.88,0.8308,21.36,103.3,2.729
GW190725_174728,9.1,17.6,nan,nan,nan,nan,26.4,0.7662,42.42,90.01,4.119
GW191219_163120,9.1,32.2,nan,nan,nan,nan,19.09,0.4129,23.24,96.54,2.944
GW231018_233037,9.1,18.2,nan,nan,nan,nan,16.93,0.09453,16.84,91.64,2.572
GW240525_031210,9.1,50.2,5.682,2.774,7.111,2.297,13.4,0.8109,20.3,55.86,3.617
GW240531_040326,9.1,32.3,7.328,2.578,5.068,3.369,14.33,0.4776,17.79,68.96,3.047
GW190413_052954,9,55.5,5.322,3.216,7.058,2.469,12.8,0.7761,19.85,88.58,2.84
GW230630_125806,9,80,4.571,3.222,6.47,2.253,73.86,0.1443,75.11,84.52,5.656
GW230930_110730,9,56.3,5.809,3.525,6.062,3.603,19.44,0.9751,25.66,97.71,3.074
GW231014_040532,9,33.8,6.244,3.274,6.748,3.487,13.97,0.6269,18.84,52.67,3.589
GW240824_205609,9,103,5.172,3.063,5.996,2.662,12.39,0.5672,16.36,75.24,2.798
GW241201_055758,9,76,6.629,2.557,7.128,5.451,14.77,0.2537,17.27,51.32,3.48
GW241210_120900,9,62,4.872,3.134,6.512,2.209,16.78,0.5672,22.21,72.51,3.321
GW250118_023225,9,71,5.542,2.586,6.198,3,12.88,0.8259,20.33,115.6,2.517
GW191103_012549,8.9,19,nan,nan,nan,nan,421.1,0.7114,1346,437.4,10.53
GW191204_110529,8.9,45,5.086,2.773,8.041,3.264,14.17,0.9254,21.03,66.58,3.372
GW230708_053705,8.9,49.4,6.937,3.025,5.174,2.498,31.42,0.2438,33.09,54.37,4.68
GW231004_232346,8.9,96,4.266,1.711,6.935,2.669,9.494,0.995,18.44,102.1,2.549
GW190731_140936,8.8,67.4,5.51,2.473,6.446,2.393,25.95,0.02985,22.49,102.9,2.805
GW230825_041334,8.8,67,6.955,2.798,4.752,2.892,12.6,0.8955,19.48,64.57,3.295
GW190426_190642,8.7,172.9,4.564,1.643,7.725,2.523,14.62,0.2488,17.64,65.55,3.112
GW230704_212616,8.7,132,5.045,3.647,6.358,2.898,54.02,0.8109,58.63,111.9,4.343
GW231113_150041,8.7,82,5.888,2.849,4.539,2.796,12.81,0.6318,17.96,67.99,3.084
GW240618_071627,8.7,101,5.456,2.942,6.369,2.705,13.65,0.4876,17.51,54.03,3.416
GW241124_024914,8.7,67,4.882,3.188,6.157,2.606,17.64,0.9353,24.7,82.88,3.275
GW241229_155844,8.7,82,4.759,1.684,6.285,1.902,16.67,0.3582,19.65,45.98,3.922
GW230831_015414,8.6,69,6.861,2.379,5.424,2.943,18.3,0.1144,18.62,121.3,2.351
GW231113_122623,8.6,63,5.289,2.596,6.081,2.623,14.55,0.4328,19.02,91.18,2.741
GW240908_125134,8.6,74,4.918,2.351,6.59,2.556,16.97,0.7612,21.43,110.2,2.646
GW200220_124850,8.5,64,3462,2859,5.289,2.884,15.59,0.2587,18.03,66.61,3.122
GW200210_092254,8.4,26.7,nan,nan,nan,nan,11.29,0.8856,18.97,62.22,3.313
GW241009_022835,8.4,61,4.382,2.606,6.964,2.195,24.38,0.05473,22.61,91.73,2.979
